parameter,value,min_manual,util_manual,min_certus,util_certus
review_certus_s,20,,,1,0.187
review_certus_s,30,,,1,0.278
review_certus_s,45,,,1,0.414
review_certus_s,60,,,1,0.549
review_manual_s,45,2,0.64,,
review_manual_s,90,3,0.86,,
review_manual_s,135,4,0.966,,
review_manual_s,180,5,1.025,,
referable_prev,0.04,3,0.86,1,0.244
referable_prev,0.08,3,0.86,1,0.278
referable_prev,0.125,3,0.86,1,0.302
ungradable_raw,0.04,3,0.943,1,0.293
ungradable_raw,0.1,3,0.923,1,0.286
ungradable_raw,0.225,3,0.86,1,0.278
abstain,0.05,,,1,0.239
abstain,0.1,,,1,0.278
abstain,0.2,,,1,0.348
spec,0.8,,,1,0.327
spec,0.85,,,1,0.303
spec,0.9,,,1,0.262
reviewer_hours_per_day,2,unreachable,,1,0.545
reviewer_hours_per_day,4,3,0.86,1,0.278
reviewer_hours_per_day,6,2,0.87,1,0.182
annual_patients,50000,2,0.634,1,0.139
annual_patients,100000,3,0.86,1,0.278
annual_patients,200000,5,1.03,1,0.556
